,StationId,NUTS3
219,3646,Pardubický kraj
220,3647,Pardubický kraj
221,3648,Královéhradecký kraj
222,3649,Vysočina
223,3701,Vysočina
224,3702,Olomoucký kraj
225,3703,Zlínský kraj
226,3706,Vysočina
227,3707,Jihomoravský kraj
228,3709,Vysočina
229,3710,Jihomoravský kraj
230,3711,Vysočina
231,3712,Zlínský kraj
232,3713,Zlínský kraj
233,3714,Vysočina
234,3715,Jihomoravský kraj
235,3716,Jihomoravský kraj
236,3717,Jihomoravský kraj
237,3718,Jihomoravský kraj
238,3719,Zlínský kraj
239,3720,Jihomoravský kraj
240,3721,Jihomoravský kraj
241,3722,Jihomoravský kraj
242,3723,Olomoucký kraj
243,3724,Vysočina
244,3725,Jihomoravský kraj
245,3726,Jihomoravský kraj
246,3727,Zlínský kraj
247,3728,Jihomoravský kraj
248,3729,Zlínský kraj
249,3730,Vysočina
250,3731,Jihomoravský kraj
251,3732,Zlínský kraj
252,3733,Vysočina
253,3734,Jihomoravský kraj
254,3735,Jihomoravský kraj
255,3736,Jihomoravský kraj
256,3737,Jihomoravský kraj
257,3738,Zlínský kraj
258,3739,Zlínský kraj
259,3740,Jihomoravský kraj
260,3741,Vysočina
261,3742,Olomoucký kraj
262,3743,Zlínský kraj
263,3744,Zlínský kraj
264,3745,Zlínský kraj
265,3746,Vysočina
266,3747,Jihomoravský kraj
267,3748,Jihomoravský kraj
268,3749,Jihomoravský kraj
269,3751,Jihomoravský kraj
270,3752,Vysočina
271,3753,Vysočina
272,3754,Jihomoravský kraj
273,3755,Vysočina
274,3756,Jihomoravský kraj
275,3757,Jihomoravský kraj
276,3758,Jihomoravský kraj
277,3759,Jihomoravský kraj
278,3760,Jihomoravský kraj
279,3761,Jihomoravský kraj
280,3762,Jihomoravský kraj
281,3763,Vysočina
282,3764,Vysočina
283,3765,Vysočina
284,3766,Jihomoravský kraj
285,3767,Zlínský kraj
286,3768,Zlínský kraj
287,3769,Jihomoravský kraj
288,3770,Jihomoravský kraj
289,3771,Zlínský kraj
290,3772,Jihomoravský kraj
291,3773,Jihomoravský kraj
292,3774,Vysočina
293,3801,Olomoucký kraj
294,3802,Olomoucký kraj
295,3803,Olomoucký kraj
296,3804,Olomoucký kraj
297,3805,Moravskoslezský kraj
298,3806,Olomoucký kraj
299,3807,Olomoucký kraj
300,3808,Moravskoslezský kraj
301,3809,Moravskoslezský kraj
302,3810,Moravskoslezský kraj
303,3811,Moravskoslezský kraj
304,3812,Olomoucký kraj
305,3813,Olomoucký kraj
306,3814,Moravskoslezský kraj
307,3815,Moravskoslezský kraj
308,3816,Moravskoslezský kraj
309,3817,Zlínský kraj
310,3818,Olomoucký kraj
311,3819,Zlínský kraj
312,3820,Moravskoslezský kraj
313,3821,Moravskoslezský kraj
314,3822,Moravskoslezský kraj
315,3823,Moravskoslezský kraj
316,3824,Moravskoslezský kraj
317,3825,Moravskoslezský kraj
318,3826,Olomoucký kraj
319,3827,Moravskoslezský kraj
320,3828,Moravskoslezský kraj
321,3829,Moravskoslezský kraj
322,3830,Moravskoslezský kraj
323,3831,Moravskoslezský kraj
324,3832,Moravskoslezský kraj
325,3833,Moravskoslezský kraj
326,3834,Moravskoslezský kraj
327,3835,Olomoucký kraj
328,3836,Olomoucký kraj
329,3837,Moravskoslezský kraj
330,3838,Moravskoslezský kraj
331,3839,Olomoucký kraj
332,3840,Moravskoslezský kraj
333,3841,Moravskoslezský kraj
334,3842,Moravskoslezský kraj
335,3843,Olomoucký kraj
336,3844,Olomoucký kraj
337,3845,Zlínský kraj
338,3846,Olomoucký kraj
339,3847,Olomoucký kraj
340,3848,Moravskoslezský kraj
341,3849,Moravskoslezský kraj
342,3850,Moravskoslezský kraj
343,3851,Olomoucký kraj
344,3852,Moravskoslezský kraj
345,3853,Moravskoslezský kraj
346,3854,Moravskoslezský kraj
347,3855,Moravskoslezský kraj
348,6203,Středočeský kraj
349,6204,Středočeský kraj
350,6250,Středočeský kraj
351,6302,Jihočeský kraj
352,6304,Jihočeský kraj
353,6305,Jihočeský kraj
354,6309,Jihočeský kraj
355,6401,Plzeňský kraj
356,6409,Plzeňský kraj
357,6511,Ústecký kraj
358,6512,Ústecký kraj
359,6514,Liberecký kraj
